latitude,longitude,name,desc,color,source,precision
42.58616,-72.626179,"237 Mohawk Trail Route 2, Greenfield, MA 01301","237 Mohawk Trl, 2, Greenfield, Franklin, MA, US",,MapQuest,address
42.592371,-72.59825,"137 Federal Street, Greenfield, MA 01301","137 Federal St, Greenfield, Franklin, MA, US",,MapQuest,address
42.591424,-72.601365,"35 Pleasant St, Greenfield, MA 01301","35 Pleasant St, Greenfield, Franklin, MA, US",,MapQuest,address
42.106905,-70.845644,"341 Plymouth Road, Halifax, MA 02388","[135 - 199] Plymouth Rd, Hanover, Plymouth, MA, US",,MapQuest,street
42.114337,-70.820159,"207 Rockland St., Hanover, MA 02339","207 Rockland St, Hanover, Plymouth, MA, US",,MapQuest,address
41.684716,-70.057809,"111 Chatam Rd, Harwich, MA 02645","111 Chatham Rd, Harwich, Barnstable, MA, US",,MapQuest,address
42.778266,-71.090444,"150 Lafayette Square, Haverhill, MA 01832","150 Lafayette Sq, Haverhill, Essex, MA, US",,MapQuest,address
42.780615,-71.07739,"259 Main St., Haverhill, MA 01830","259 Main St, Haverhill, Essex, MA, US",,MapQuest,address
42.771286,-71.075648,"68 South Main St, Haverhill, MA 01835","68 S Main St, Haverhill, Essex, MA, US",,MapQuest,address
42.127704,-71.009278,"842 South Franklin Street, Holbrook, MA 02343","842 S Franklin St, Holbrook, Norfolk, MA, US",,MapQuest,address
42.349817,-71.859981,"1145 Main St, Holden, MA 01520","1145 Main St, Holden, Worcester, MA, US",,MapQuest,address
42.168685,-72.646451,"361 Whitney Avenue, Holyoke, MA 01040","361 Whitney Ave, Holyoke, Hampden, MA, US",,MapQuest,address
42.175067,-72.640313,"250 Whiting Farms Rd., Holyoke, MA 01040","250 Whiting Farms Rd, Holyoke, Hampden, MA, US",,MapQuest,address
42.379516,-71.566182,"234 Washington St, Hudson, MA 01749","234 Washington St, Hudson, Middlesex, MA, US",,MapQuest,address
41.66413,-70.286963,"411 Barnstable Rd, Hyannis, MA 02601","411 Barnstable Rd, Hyannis, Barnstable, MA, US",,MapQuest,address
41.647585,-70.297734,"21 W Main St, Hyannis, MA 02601","21 W Main St, Hyannis, Barnstable, MA, US",,MapQuest,address
41.676981,-70.307572,"425 Attucks Lane, Hyannis, MA 02601","425 Attucks Ln, Hyannis, Barnstable, MA, US",,MapQuest,address
41.650858,-70.314752,"520 W. Main St, Hyannis, MA 02601","520 W Main St, Hyannis, Barnstable, MA, US",,MapQuest,address
42.267578,-71.12093,"942A Hyde Park Avenue, Hyde Park, MA 02136","942A Hyde Park Ave, Hyde Park, Suffolk, MA, US",,MapQuest,address
42.257073,-71.120089,"1137 River St, Hyde Park, MA 02136","1137 River St, Hyde Park, Suffolk, MA, US",,MapQuest,address
42.683764,-70.84353,"114 Central St, Ipswich, MA 01938","114 Central St, Ipswich, Essex, MA, US",,MapQuest,address
42.012419,-70.732633,"182 Summer Street, Kingston, MA 02364","182 Summer St, Kingston, Plymouth, MA, US",,MapQuest,address
41.981832,-70.731183,"431 Country Club Way, Kingston, MA 02364","431 Country Club Way, Kingston, Plymouth, MA, US",,MapQuest,address
42.694535,-71.146527,"165 Crawford Street, Lawrence, MA 01843","165 Crawford St, Lawrence, Essex, MA, US",,MapQuest,address
